domain,group,cell,n,n_correct,method,selector_type,actuator,geometry_id,lambda,trust_factor,auroc,auprc,delta_vs_iu_pp,family_nrm_delta_pp
semgrad,truthfulqa,semgrad__truthfulqa,817,315,iu,baseline,none,none,,,0.6941756782394233,0.5632553975740104,0.0,2.415101498766836
semgrad,truthfulqa,semgrad__truthfulqa,817,315,canonical,frozen_canonical,full,residual_union_k7,0.03,0.5,0.6976475052172263,0.5662159622216021,0.34718269778030164,2.415101498766836
semgrad,truthfulqa,semgrad__truthfulqa,817,315,label_free,intrinsic_label_free_geometry,full,residual_adaptive_k7,0.03,0.5,0.6997407196610383,0.5673888957294226,0.5565041421615069,2.415101498766836
semgrad,truthfulqa,semgrad__truthfulqa,817,315,supervised_one_se,supervised_donor_label,full,contribution_union_k7,0.1,1.0,0.703452855245684,0.5661066075207726,0.927717700626074,2.415101498766836
semgrad,truthfulqa,semgrad__truthfulqa,817,315,supervised_max_mean,supervised_donor_label_sensitivity,full,contribution_union_k7,3.0,1.0,0.6902675014228798,0.5526148515955764,-0.39081768165434294,2.415101498766836
semgrad,truthfulqa,semgrad__truthfulqa,817,315,canonical_cross,frozen_canonical_matched_cross_actuator,cross,residual_union_k7,,0.5,0.697691772592171,0.5663055113464414,0.35160943527476896,2.415101498766836
semgrad,truthfulqa,semgrad__truthfulqa,817,315,label_free_cross,intrinsic_label_free_geometry_matched_cross_actuator,cross,residual_adaptive_k7,,0.5,0.6997723392145703,0.5674820554874678,0.5596660975146994,2.415101498766836
semgrad,truthfulqa,semgrad__truthfulqa,817,315,supervised_one_se_cross,supervised_donor_label_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.7040852463163221,0.5671131095236233,0.99095680768988,2.415101498766836
semgrad,truthfulqa,semgrad__truthfulqa,817,315,supervised_max_mean_cross,supervised_donor_label_sensitivity_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.7040852463163221,0.5671131095236233,0.99095680768988,2.415101498766836
prmbench,prmbench,prmbench,6966,758,iu,baseline,none,none,,,0.7206017046690967,0.22077095919952613,0.0,0.46042386366728083
prmbench,prmbench,prmbench,6966,758,canonical,frozen_canonical,full,residual_union_k7,0.03,0.5,0.7164042099053396,0.22270190953858918,-0.41974947637570814,0.46042386366728083
prmbench,prmbench,prmbench,6966,758,label_free,intrinsic_label_free_geometry,full,residual_adaptive_k7,0.03,0.5,0.716865143792672,0.22233729643288896,-0.37365608764247105,0.46042386366728083
prmbench,prmbench,prmbench,6966,758,supervised_one_se,supervised_donor_label,full,contribution_union_k7,0.1,1.0,0.7193971987800234,0.22859839626899614,-0.12045058890732818,0.46042386366728083
