geometry_id,selector,trust_class,actuator,lambda_is_a_cross_parameter,mean_pp,ci_pp,positive_groups,worst_group_pp
residual_cosine_union_k7,max_mean,canonical,full,True,-0.10002645053871226,"[-0.2792284205821278, 0.0701268667377794]",3,-0.5454019138822819
residual_cosine_union_k7,max_mean,canonical,cross,False,-0.09364318377949567,"[-0.28436431072786617, 0.08460887018302889]",3,-0.5811735849003963
residual_cosine_union_k7,max_mean,v1,full,True,-0.0127036185813049,"[-0.1001843828706367, 0.07064400980740977]",4,-0.23643983772694277
residual_cosine_union_k7,max_mean,v1,cross,False,-0.011144235660607243,"[-0.11143339563378465, 0.08445873210972668]",4,-0.2742699880155075
residual_cosine_union_k7,max_mean,expanded,full,True,-0.0127036185813049,"[-0.10018438287063669, 0.07063015653548739]",4,-0.23643983772694277
residual_cosine_union_k7,max_mean,expanded,cross,False,-0.011144235660607243,"[-0.11223133472447046, 0.08496647168368306]",4,-0.2742699880155075
residual_shrinkage_mahalanobis_union_k7,one_se,canonical,full,True,0.02409939699403022,"[-0.21577028619047092, 0.2519336920962255]",5,-0.5636709174077104
residual_shrinkage_mahalanobis_union_k7,one_se,canonical,cross,False,-0.025735691028894322,"[-0.24964098549773425, 0.1920541465474629]",3,-0.5692590173838052
residual_shrinkage_mahalanobis_union_k7,one_se,v1,full,True,0.02511625399976116,"[-0.09299787474328033, 0.14068044104572655]",4,-0.2680330195737324
residual_shrinkage_mahalanobis_union_k7,one_se,v1,cross,False,0.021021259748107427,"[-0.09776260408910054, 0.1369219179073375]",4,-0.2711710817224655
residual_shrinkage_mahalanobis_union_k7,one_se,expanded,full,True,0.02511625399976116,"[-0.0940436911204817, 0.14069536138121194]",4,-0.2680330195737324
residual_shrinkage_mahalanobis_union_k7,one_se,expanded,cross,False,0.021021259748107427,"[-0.09731234993351767, 0.13691368505232365]",4,-0.2711710817224655
residual_shrinkage_mahalanobis_union_k7,max_mean,canonical,full,True,0.04020923952509092,"[-0.19187122448810673, 0.2924963567687405]",4,-0.47233149347425396
residual_shrinkage_mahalanobis_union_k7,max_mean,canonical,cross,False,-0.025735691028894322,"[-0.24988928504360627, 0.19159427727064304]",3,-0.5692590173838052
residual_shrinkage_mahalanobis_union_k7,max_mean,v1,full,True,0.05760237417640768,"[-0.12896912548292375, 0.28066074360433374]",4,-0.23910852943766378
residual_shrinkage_mahalanobis_union_k7,max_mean,v1,cross,False,0.021021259748107427,"[-0.09818747093119805, 0.13574713552578302]",4,-0.2711710817224655
residual_shrinkage_mahalanobis_union_k7,max_mean,expanded,full,True,0.05760237417640768,"[-0.1288436207210435, 0.28066074360433374]",4,-0.23910852943766378
residual_shrinkage_mahalanobis_union_k7,max_mean,expanded,cross,False,0.021021259748107427,"[-0.09776260408910054, 0.13693639621421005]",4,-0.2711710817224655
