domain,group,cell,method,auroc,auprc,delta_vs_iu_pp,nrm_delta_pp
processbench_llama,olympiadbench,llama31_8b__olympiadbench,dufs_graph,0.7538635927507709,0.615833780621065,0.2543745732531799,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,contribution_graph,0.7592099215008994,0.6224604171276571,0.7890074482660325,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,equal_cell_pooling,0.7585628282882375,0.6236998838233412,0.724298126999845,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,cross_only,0.7572731045747259,0.6224977606295825,0.5953257556486791,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,node_permuted_00,0.7532120368262979,0.616460709976331,0.18921898080588306,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,node_permuted_01,0.752939811405799,0.6142112962147613,0.1619964387559958,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,node_permuted_02,0.7471472114745246,0.6140290202927774,-0.4172635543714498,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,node_permuted_03,0.7541224300358356,0.6163889550692911,0.2802583017596505,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,node_permuted_04,0.7482405758683321,0.6147163755391805,-0.3079271149906915,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,node_permuted_05,0.7462323555531755,0.6131497261658707,-0.5087491465063598,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,node_permuted_06,0.7406673539242856,0.6028476866327691,-1.0652493093953441,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,node_permuted_07,0.7504139165205129,0.6148284704836695,-0.09059304977261373,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,node_permuted_08,0.7464733419909942,0.6128297392025717,-0.48465050272448185,1.4543977793545992
