file,cell,variant,auroc_now,auroc_csv,delta,K_now,K_csv,p_pool_csv,p_pool_now,stale
a1_residual__h16.csv,inside_coqa_llama7b,a1.minres+K_ah,0.5710803317129327,0.5916307436805164,-0.02055041196758367,2,1,15,15,True
a1_residual__h16.csv,lapeigvals_gsm8k_llama3b,a1.minres_exh_s4,0.6356601595591179,0.6356601715087891,-1.1949671141486817e-08,3,3,16,16,False
a1_residual__h16.csv,lapeigvals_gsm8k_llama3b,a1.minres_exh_s5,0.661244077042664,0.6612440943717957,-1.7329131685173138e-08,2,2,16,16,False
a1_residual__h16.csv,lapeigvals_gsm8k_llama3b,a1.minres_exh_s6,0.6620376835069492,0.6620376706123352,1.28946140431907e-08,2,2,16,16,False
a1_residual__h16.csv,lapeigvals_gsm8k_llama3b,a1.minres_exh_adapt,0.6339053816292904,0.6339054107666016,-2.9137311119420417e-08,2,2,16,16,False
a1_residual__h16.csv,lapeigvals_gsm8k_llama3b,a1.relres_exh_s4,0.6356601595591179,0.6356601715087891,-1.1949671141486817e-08,3,3,16,16,False
a1_residual__h16.csv,lapeigvals_gsm8k_llama3b,a1.relres_exh_s5,0.661244077042664,0.6612440943717957,-1.7329131685173138e-08,2,2,16,16,False
a1_residual__h16.csv,lapeigvals_gsm8k_llama3b,a1.relres_exh_s6,0.6620376835069492,0.6620376706123352,1.28946140431907e-08,2,2,16,16,False
a1_residual__h16.csv,lapeigvals_gsm8k_llama3b,a1.relres_exh_adapt,0.6339053816292904,0.6339054107666016,-2.9137311119420417e-08,2,2,16,16,False
a1_residual__h16.csv,lapeigvals_gsm8k_llama3b,a1.relres_greedy,0.6339053816292904,0.6339054107666016,-2.9137311119420417e-08,2,2,16,16,False
a1_residual__h16.csv,lapeigvals_gsm8k_llama3b,a1.upcrres_greedy,0.667881512925778,0.6678814888000488,2.412572919219258e-08,2,2,16,16,False
a1_residual__h16.csv,lapeigvals_gsm8k_llama3b,a1.router@good5,0.6845053574254569,0.6845053434371948,1.3988262104192017e-08,2,2,16,16,False
