split,held_group,cell,family,domain,n,error_rate,method,auroc,error_auprc
cell,se_squad_v2_llama8b,se_squad_v2_llama8b,squad_v2,QA,2933,0.7204227753153768,ppca_manifold_k4,0.7855580437015918,0.8860661249522596
cell,se_squad_v2_llama8b,se_squad_v2_llama8b,squad_v2,QA,2933,0.7204227753153768,knn_manifold_k5,0.793745454965198,0.8968306952400253
cell,seiclr_triviaqa_opt30b,seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.5352,epr_risk,0.8040768937376668,0.8115415589682031
cell,seiclr_triviaqa_opt30b,seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.5352,mean_confidence_risk,0.8315998619719107,0.8396706860799051
cell,seiclr_triviaqa_opt30b,seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.5352,iu_pcr_risk,0.8217253221727396,0.8336239351405098
cell,seiclr_triviaqa_opt30b,seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.5352,shared_direction,0.8287370333351343,0.8391618951071125
cell,seiclr_triviaqa_opt30b,seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.5352,balanced_logistic,0.8147922407117258,0.8221457156956697
cell,seiclr_triviaqa_opt30b,seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.5352,ppca_manifold_k4,0.781371884076987,0.7979744086226244
cell,seiclr_triviaqa_opt30b,seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.5352,knn_manifold_k5,0.8180810204302154,0.8276015521343518
cell,semenergy_triviaqa_qwen3_8b,semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.523224043715847,epr_risk,0.7813451005525339,0.8025457747636189
cell,semenergy_triviaqa_qwen3_8b,semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.523224043715847,mean_confidence_risk,0.8083735036404731,0.8336857411885308
cell,semenergy_triviaqa_qwen3_8b,semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.523224043715847,iu_pcr_risk,0.805718481167545,0.8336923308514052
cell,semenergy_triviaqa_qwen3_8b,semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.523224043715847,shared_direction,0.794728275823086,0.8247648186426244
cell,semenergy_triviaqa_qwen3_8b,semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.523224043715847,balanced_logistic,0.7861497435999745,0.8198850838399669
cell,semenergy_triviaqa_qwen3_8b,semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.523224043715847,ppca_manifold_k4,0.7021110919922894,0.7581808220540667
cell,semenergy_triviaqa_qwen3_8b,semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.523224043715847,knn_manifold_k5,0.7954344253505603,0.8264802043961854
cell,spilled_triviaqa_llama8b,spilled_triviaqa_llama8b,triviaqa,QA,256,0.9765625,epr_risk,0.872,0.9963504697188539
cell,spilled_triviaqa_llama8b,spilled_triviaqa_llama8b,triviaqa,QA,256,0.9765625,mean_confidence_risk,0.9186666666666666,0.997854005537832
cell,spilled_triviaqa_llama8b,spilled_triviaqa_llama8b,triviaqa,QA,256,0.9765625,iu_pcr_risk,0.9319999999999999,0.9981729094668079
cell,spilled_triviaqa_llama8b,spilled_triviaqa_llama8b,triviaqa,QA,256,0.9765625,shared_direction,0.918,0.9977956073739151
cell,spilled_triviaqa_llama8b,spilled_triviaqa_llama8b,triviaqa,QA,256,0.9765625,balanced_logistic,0.9226666666666666,0.9979773471342039
cell,spilled_triviaqa_llama8b,spilled_triviaqa_llama8b,triviaqa,QA,256,0.9765625,ppca_manifold_k4,0.9066666666666667,0.9975321158642588
