candidate,discovery_macro_auroc,confirmation_macro_auroc,all_macro_auroc,all_macro_auprc,mean_n_kept,fallback_cells
top1_surprisal__q90__flat_top8_p1,0.7731818240701042,0.7534026473284227,0.7625314981322757,0.6208677818711394,4.923076923076923,1
kl_to_final__std__spread8_p1,0.7731721979278029,0.7569093456776017,0.764415277485387,0.6253058509486676,4.769230769230769,3
top1_surprisal__q90__flat_top5_p1,0.7731259964865226,0.7545826060147708,0.7631410939248101,0.6216038268581072,5.0,0
target_gap__cvar80__flat_top3_p2,0.7731031934031208,0.7605001747616019,0.7663169525961491,0.6292615610657106,5.0,0
target_gap__max__flat_top5_p1,0.7729726254494823,0.7630792726267489,0.7676454354680106,0.6295099957456662,4.923076923076923,1
kl_to_final__max__flat_top5_p1,0.7729511839835591,0.7627611206804584,0.7674642268203511,0.6246554781424936,4.538461538461538,6
top1_surprisal__cvar80__spread4_p1,0.7729380965746016,0.7576002578577029,0.7646792603424254,0.6255932607774424,4.923076923076923,1
entropy__q90__spread8_p1,0.7729365069194113,0.7596387068077777,0.7657761530131472,0.6251625667796348,4.923076923076923,1
entropy_excess_over_top1__mean__spread4_p1,0.7728721928506203,0.7608665431488657,0.7664076122419832,0.6278142426968274,4.923076923076923,1
target_gap__max__organic_all_p1,0.7728638425397628,0.7624360727886722,0.7672488895968679,0.6280071451120103,4.846153846153846,2
target_excess_over_entropy__std__organic_top8_p1,0.7728547976813377,0.7580409967241705,0.7648781356274784,0.6256385562538972,5.0,0
target_excess_over_entropy__mean__organic_top8_p1,0.7728365613706215,0.7541807017776068,0.7627910985128445,0.624372392955446,5.0,0
entropy_excess_over_top1__std__organic_all_p1,0.7728139549989801,0.7581656564512456,0.7649264096271229,0.6266936758825726,5.0,0
top1_surprisal__cvar80__spread8_p1,0.7727361309218385,0.756605596183233,0.7640504583702816,0.6238436656371295,4.923076923076923,1
entropy__cvar80__flat_top8_p1,0.7727175247185313,0.7575346061783924,0.7645421070430719,0.6202420753102943,4.846153846153846,2
top1_surprisal__std__organic_all_p1,0.7727077009359554,0.7574920387588657,0.7645146520713688,0.6262223847690602,5.0,0
kl_to_final__std__flat_top5_p1,0.7725824542473396,0.7547355206789931,0.7629725669413069,0.6217514232489321,4.923076923076923,1
